longname,shortnam,mort,logmort0,risk,loggdp,latitude,neoeuro,asia,africa,other,rainmin,meantemp,malaria
Angola,AGO,280,5.63478946685791,5.360000133514404,7.769999980926514,0.13670000433921814,0,0,1,0,0,26,1
Argentina,ARG,68.9000015258789,4.232656002044678,6.389999866485596,9.130000114440918,0.37779998779296875,0,0,0,0,56,17,0
Australia,AUS,8.550000190734863,2.1459312438964844,9.319999694824219,9.899999618530273,0.30000001192092896,1,0,0,1,41,17,0
Burkina Faso,BFA,280,5.63478946685791,4.449999809265137,6.849999904632568,0.1444000005722046,0,0,1,0,0,29,1
Bangladesh,BGD,71.410003662109375,4.26843786239624,5.139999866485596,6.880000114440918,0.26669999957084656,0,1,0,0,2,25,0.17861999571323395
Bolivia,BOL,71,4.2626800537109375,5.639999866485596,7.929999828338623,0.18889999389648438,0,0,0,0,8,12,0.011357000097632408
Brazil,BRA,71,4.2626800537109375,7.909999847412109,8.729999542236328,0.11110000312328339,0,0,0,0,41,25,0.03328999876976013
Canada,CAN,16.100000381469727,2.7788193225860596,9.729999542236328,9.989999771118164,0.666700005531311,1,0,0,0,56,4,0
Chile,CHL,68.9000015258789,4.232656002044678,7.820000171661377,9.34000015258789,0.33329999446868896,0,0,0,0,3,17,0
Cote d'Ivoire,CIV,668,6.504288196563721,7,7.440000057220459,0.08889999985694885,0,0,1,0,41,26,1
Cameroon,CMR,280,5.63478946685791,6.449999809265137,7.5,0.06669999659061432,0,0,1,0,23,25,1
Congo,COG,240,5.4806389808654785,4.679999828338623,7.420000076293945,0.011099999770522118,0,0,1,0,0,25,1
Colombia,COL,71,4.2626800537109375,7.320000171661377,8.8100004196167,0.04439999908208847,0,0,0,0,51,14,0.261694997549057
Costa Rica,CRI,78.0999984741211,4.357990264892578,7.050000190734863,8.789999961853027,0.11110000312328339,0,0,0,0,5,21,0
Dominican Re,DOM,130,4.867534637451172,6.179999828338623,8.359999656677246,0.2110999971628189,0,0,0,0,36,26,0
Algeria,DZA,78.19999694824219,4.359269618988037,6.5,8.390000343322754,0.3111000061035156,0,0,1,0,0,21,0
Ecuador,ECU,71,4.2626800537109375,6.550000190734863,8.470000267028809,0.022199999541044235,0,0,0,0,20,15,0.195373997092247
Egypt,EGY,67.80000305175781,4.216562271118164,6.769999980926514,7.949999809265137,0.30000001192092896,0,0,1,0,0,24,0
