"","wage","educ","exper","hrswk","married","female","metro","midwest","south","west","black","asian"
"1",18.7,16,39,37,1,1,1,0,1,0,0,0
"2",11.5,12,16,62,0,0,0,1,0,0,0,0
"3",15.04,16,13,40,1,0,1,0,0,1,1,0
"4",25.95,14,11,40,0,1,1,0,1,0,1,0
"5",24.03,12,51,40,1,0,1,0,0,0,0,0
"6",20,12,30,40,1,0,1,0,0,0,0,0
"7",53.84,16,30,50,1,0,1,0,0,1,0,0
"8",25,12,34,60,1,0,1,1,0,0,0,0
"9",28.85,16,31,45,1,0,1,1,0,0,0,0
"10",16.83,13,31,40,0,1,1,0,0,0,0,0
"11",14.8,12,45,55,1,0,1,1,0,0,0,0
"12",43.25,16,33,40,1,1,0,0,1,0,0,0
"13",19.23,12,33,40,0,0,1,0,1,0,0,0
"14",14,14,15,40,0,1,1,0,1,0,1,0
"15",8,12,23,45,0,1,1,0,0,0,0,0
"16",57.7,21,41,50,1,0,1,1,0,0,0,0
"17",20,12,50,40,0,0,1,0,0,0,0,0
"18",20.83,18,24,24,1,1,0,1,0,0,0,0
"19",22,11,27,40,1,0,1,0,0,1,0,0
"20",68.75,14,41,40,1,0,1,0,0,1,0,0
"21",10.5,12,27,40,1,0,1,0,0,1,0,0
"22",9.88,13,25,40,1,1,0,0,0,0,0,0
"23",10.96,12,22,50,1,0,0,0,0,0,0,0
"24",8.25,13,11,35,0,0,1,0,0,1,0,0
"25",14.86,18,3,37,0,1,1,0,0,0,0,0
"26",8.75,12,45,40,1,1,0,1,0,0,0,0
"27",15.3,12,34,40,1,0,1,0,1,0,0,0
"28",12.7,12,40,40,0,1,0,1,0,0,0,0
"29",10.75,13,6,40,0,1,1,0,0,1,0,0
"30",17.33,12,15,0,1,1,0,0,0,1,0,1
"31",7.5,10,27,40,1,1,1,0,1,0,0,0
"32",18.5,12,19,45,1,0,1,0,0,1,0,0
"33",9,13,30,40,1,1,0,0,1,0,0,0
"34",51.29,21,25,45,0,1,1,0,1,0,0,0
"35",20.53,14,38,40,1,1,0,1,0,0,0,0
"36",12.68,18,42,44,0,0,1,0,1,0,0,0
"37",7.25,12,16,40,0,1,1,0,0,0,1,0
"38",18.28,14,23,40,1,0,1,1,0,0,0,0
"39",21.63,16,7,40,0,1,1,0,0,0,0,0
"40",19.23,14,34,40,1,1,1,0,0,1,0,0
"41",25,12,25,40,1,0,1,0,0,0,0,0
"42",16.83,16,38,40,1,1,1,0,1,0,0,0
"43",10.53,12,15,40,0,0,1,1,0,0,0,0
"44",16.35,13,44,40,0,0,0,1,0,0,0,0
"45",5.2,13,5,40,0,1,1,0,1,0,0,0
"46",50,13,18,40,1,1,0,0,0,0,0,0
"47",10,13,28,40,0,1,1,0,1,0,1,0
"48",9,12,32,0,1,1,1,1,0,0,0,0
"49",13,14,29,30,1,1,1,0,0,0,0,0
"50",18.25,12,13,40,1,0,1,0,0,0,0,0
"51",36.05,16,20,49,1,0,1,0,0,0,0,0
"52",11.3,12,29,50,1,1,0,0,0,0,0,0
"53",11,10,12,40,0,0,1,0,1,0,1,0
"54",7.5,12,29,40,1,1,1,0,1,0,1,0
"55",7.5,16,4,40,1,1,0,0,1,0,0,0
"56",25.63,12,23,60,1,1,1,0,0,1,0,0
"57",25.95,18,26,40,0,1,1,1,0,0,0,0
"58",19.23,16,37,60,1,1,0,1,0,0,0,0
"59",25,13,34,40,1,0,0,1,0,0,0,0
"60",28,14,27,40,1,0,1,0,1,0,0,0
"61",9,3,33,40,1,1,1,0,0,1,0,0
"62",29.75,12,22,40,0,0,1,0,0,1,0,0
"63",8.75,3,19,40,1,0,1,0,0,1,0,0
"64",15.55,12,34,40,1,1,1,0,1,0,0,0
"65",25.63,14,24,60,1,0,0,0,0,0,0,0
"66",17.19,18,47,32,1,0,1,0,1,0,0,1
"67",10.5,12,9,60,0,0,0,0,0,1,0,0
"68",12.7,14,29,40,1,1,1,0,0,1,1,0
"69",9.46,12,35,37,1,1,1,0,1,0,1,0
"70",28.85,18,12,40,1,1,1,0,1,0,0,1
"71",47.13,16,17,40,1,0,1,0,1,0,0,0
"72",9,14,25,30,1,1,1,0,0,0,0,0
"73",72.13,12,27,52,1,1,1,0,0,1,0,0
"74",30.77,21,29,55,1,0,1,1,0,0,0,0
"75",28.84,16,16,50,1,1,1,0,0,0,0,0
"76",26.93,14,32,40,1,0,1,0,0,1,0,0
"77",8,12,7,36,0,0,0,1,0,0,0,0
"78",8,13,7,20,0,0,1,0,0,0,0,0
"79",18.75,13,44,45,0,1,1,0,0,1,0,0
"80",13,13,35,40,0,1,0,1,0,0,0,0
"81",34.62,21,12,45,1,0,1,0,0,0,0,0
"82",39.9,13,32,40,1,1,1,0,0,0,0,0
"83",10.25,16,18,40,0,0,1,1,0,0,0,0
"84",15.37,12,33,27,1,1,1,0,0,1,0,0
