"","sex","age","mrd","educ","cworker","region","race","earnings","height","weight","occupation"
"1",0,48,1,13,1,3,1,84054.75,65,133,1
"2",0,41,6,12,1,2,1,14021.39453125,65,155,1
"3",0,26,1,16,1,1,1,84054.75,60,108,1
"4",0,37,1,16,1,2,1,84054.75,67,150,1
"5",0,35,6,16,1,1,1,28560.38671875,68,180,1
"6",0,25,6,15,1,4,1,23362.873046875,63,101,1
"7",0,29,1,16,1,2,1,38925.3359375,67,150,1
"8",0,44,4,18,3,4,1,84054.75,65,125,1
"9",0,50,6,14,2,3,1,84054.75,67,129,1
"10",0,38,1,12,4,3,1,84054.75,66,110,1
"11",0,30,1,12,1,4,1,84054.75,65,110,1
"12",0,29,4,18,2,3,1,38925.3359375,68,135,1
"13",0,26,1,16,1,1,1,84054.75,65,123,1
"14",0,50,1,12,1,1,1,49430.109375,63,132,1
"15",0,65,4,16,4,4,3,16081.587890625,65,110,1
"16",0,45,6,17,2,4,1,84054.75,71,202,1
"17",0,26,6,16,1,3,1,23362.873046875,66,130,1
"18",0,57,4,12,2,3,1,44152.16015625,68,220,1
"19",0,40,4,16,1,4,1,84054.75,66,195,1
"20",0,36,1,12,1,3,1,49430.109375,68,135,1
"21",0,60,1,15,4,3,1,84054.75,64,160,1
"22",0,32,1,12,1,2,1,33712.96875,65,115,1
"23",0,33,1,12,1,1,1,44152.16015625,61,125,1
"24",0,27,1,16,1,1,1,84054.75,64,115,1
"25",0,52,5,13,2,2,2,44152.16015625,60,170,1
"26",0,36,1,12,4,4,1,84054.75,68,180,1
"27",0,53,4,18,4,2,1,84054.75,65,128,1
"28",0,29,6,16,1,2,1,28560.38671875,67,115,1
"29",0,35,1,11,1,4,1,23362.873046875,66,140,1
"30",0,46,1,18,4,4,1,84054.75,63,120,1
"31",0,47,4,10,1,3,1,6711.28759765625,64,124,1
"32",0,34,4,13,6,4,1,33712.96875,64,170,1
"33",0,34,4,17,4,4,1,38925.3359375,66,110,1
"34",0,57,4,12,1,2,1,23362.873046875,65,200,1
"35",0,50,1,16,6,3,1,84054.75,66,140,1
"36",0,41,1,15,1,4,1,84054.75,66,130,1
"37",0,29,1,13,6,1,1,23362.873046875,66,140,1
