"","age_round","all","internal","external","alcohol","homicide","suicide","mva","drugs","external_other"
"1",19.1,92.82540388,16.61758952,76.20781437,0.751927127,16.31681867,11.2037142,35.82932762,3.759635637,8.534372896
"2",19.2,187.24503174,37.23873767,150.00629407,1.807401612,32.07921841,23.90917896,69.84490512,6.175032121,17.16952637
"3",19.3,88.42775354,16.10177005,72.32598349,1.168980964,16.74282412,11.27500994,32.27895822,2.979016004,8.258284872
"4",19.4,88.70493922,17.36352002,71.3414192,1.170150262,14.94772593,10.98431375,32.65096699,3.397210438,8.41753253
"5",19.5,90.19178647,17.87210515,72.31968131,1.322460212,15.64281508,12.16663395,32.72144411,3.060550777,7.97254585
"6",19.6,185.83586217,32.39202903,153.44383313,2.384104414,32.08929766,23.38527743,70.57313146,6.924809355,18.957736263
"7",19.7,93.38170071,17.43327205,75.94842866,1.326444612,16.78899895,11.90010309,31.91046753,3.903537002,10.76315057
"8",19.8,90.85795763,18.28540108,72.57255656,0.986349436,16.61619434,11.57063761,30.57683251,3.528096058,9.863494357
"9",19.9,95.81014967,18.60759942,77.20255025,1.518987708,17.27848518,11.46835719,33.53165365,3.911393348,9.835445408
"10",20,94.15806612,18.43627859,75.72178753,1.444491931,16.95377372,11.63196134,33.60344387,3.535203936,9.123106932
"11",20.1,190.71019829,40.51831702,150.19188127,2.322750574,34.23400302,23.19136701,66.0711234,7.311640497,17.974922861
"12",20.2,94.96040214,18.47300428,76.48739787,1.526694568,16.29746452,11.87005027,33.32010895,4.08390797,9.809012601
"13",20.3,93.38532297,18.88348324,74.50183974,1.184995912,15.9401063,12.46156991,32.75940311,3.249182338,9.250613246
"14",20.4,90.12092058,18.56781924,71.55310135,1.416514045,16.88331605,11.10240738,30.58904654,3.06273307,8.996778393
"15",20.5,185.76070685,39.33200327,146.42870359,2.647656206,34.07409211,22.37146633,61.58667565,7.866459501,18.803052532
"16",20.6,92.22877936,19.42265787,72.80612149,1.192281968,15.88427268,12.34588748,30.23011701,3.423003071,10.19208779
"17",20.7,92.33224699,20.3770374,71.95520959,1.271157343,17.4110036,10.97817705,30.12257703,3.389752914,9.398860353
"18",20.8,92.66750957,19.52113232,73.14637724,1.388855264,17.90080118,11.30373868,29.74465024,4.166565792,9.220455781
"19",20.9,93.39019651,18.62394486,74.76625166,1.120527803,18.16027818,12.20988916,30.71791735,3.786611195,9.157416869
"20",21,199.53826346,42.13806176,157.40020173,4.261047837,35.4763188,24.28323692,66.73394515,8.210348402,20.178542287
"21",21.1,101.0665164,21.1218536,79.94466278,1.824866028,17.31681379,14.83188984,32.57579994,4.19330917,9.978522747
"22",21.2,96.96652578,19.25328129,77.71324449,1.711402782,16.88065471,12.21319258,33.02229458,4.395193507,10.26841669
"23",21.3,102.8268971,21.50831649,81.31858064,1.636502342,17.3780963,14.45577069,35.10687166,3.97436283,9.624192343
"24",21.4,100.9794295,22.36614345,78.61328606,1.522302957,17.0185664,13.58362639,32.3586962,4.21560819,10.57805388
"25",21.5,200.73454333,42.50332712,158.23121617,3.521818699,35.88988922,26.65176933,63.98894619,8.80576404,20.62549831
"26",21.6,95.20130853,22.09329625,73.10801228,1.334231035,16.59940375,11.81186887,30.09868246,4.552082354,9.4965856
"27",21.7,97.25824923,21.26787099,75.99037824,1.769046571,18.04427502,13.3268175,30.38828887,4.245711769,8.963169291
"28",21.8,98.92872282,19.45493196,79.47379087,1.890357761,17.17074966,14.76842001,31.7422574,4.922806669,9.806230885
"29",21.9,199.0955804,42.60938484,156.48619558,2.843095348,33.88063854,26.29787074,66.02194553,8.686885659,20.019601599
"30",22,99.5019646,21.02488786,78.47707673,1.544200804,17.22377819,12.27441664,31.83429349,4.711792195,11.4825188
"31",22.1,96.07228738,23.40324094,72.66904644,1.943658993,17.01693282,11.62228745,29.55155,4.085650537,9.440629396
"32",22.2,95.96820528,20.624223,75.34398228,2.026657751,16.5709075,12.59706877,30.83698853,4.410960988,9.49747456
"33",22.3,98.61067156,23.12991529,75.48075627,1.950715747,17.198147,12.42088394,29.85789409,4.618020953,10.07206294
"34",22.4,195.36419571,47.46512431,147.89907139,3.872349707,33.81121205,27.74384812,56.40485822,8.861348679,18.84196254
"35",22.5,97.50947483,23.49674127,74.01273357,1.841311922,17.53249178,12.80912642,28.26013515,4.243023125,9.887044451
"36",22.6,95.56239021,22.81787664,72.74451357,1.443661791,16.04068656,12.15082007,29.23415126,4.812205969,10.0254291
"37",22.7,97.02306202,21.81512326,75.20793876,1.165080248,16.79322564,12.85605791,29.52875801,5.142423163,10.20449596
"38",22.8,193.68988268,47.29433546,146.39554722,3.061655752,33.92022479,26.94916989,54.30482522,9.870974941,19.940530264
"39",22.9,97.39764567,24.23831912,73.15932655,1.817873934,17.77476736,11.91717357,27.38930061,4.928458222,10.09929963
